Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
BARNARD 325;;;Dark Nebula;Aquila;"18h 59' 54""""";"-04º 03' 00""""";;17' x 12';;;"19h 01' 14""""";"-04º 00' 48"""""
ACO 2420;;;Cluster of Galaxies;Aquarius;"22h 10' 23""""";"-12º 11' 13""""";;17' x 17';;;"22h 11' 43""""";"-12º 03' 44"""""
BARNARD 323;;;Dark Nebula;Aquila;"18h 57' 36""""";"-03º 25' 00""""";;16' x 16';;;"18h 58' 55""""";"-03º 22' 53"""""
ACO 2345;;;Cluster of Galaxies;Capricornus;"21h 27' 10""""";"-12º 09' 59""""";;16' x 16';;;"21h 28' 32""""";"-12º 03' 21"""""
ACO 2377;;;Cluster of Galaxies;Capricornus;"21h 45' 56""""";"-10º 06' 33""""";;15' x 15';;;"21h 47' 17""""";"-09º 59' 31"""""
BARNARD 94;;;Dark Nebula;Scutum;"18h 25' 54""""";"-10º 39' 00""""";;15';;;"18h 27' 18""""";"-10º 38' 02"""""
ZWCL 146;;ZWCL 0027-0036;Cluster of Galaxies;Cetus;"00h 29' 28""""";"-00º 11' 50""""";;14' x 14';;;"00h 30' 45""""";"-00º 03' 29"""""
ACO 350;;;Cluster of Galaxies;Cetus;"02h 25' 05""""";"-09º 50' 12""""";;14' x 14';;;"02h 26' 19""""";"-09º 43' 26"""""
ACO 2399;;;Cluster of Galaxies;Aquarius;"21h 57' 19""""";"-07º 50' 58""""";;12' x 12';;;"21h 58' 39""""";"-07º 43' 43"""""
ACO 2697;;;Cluster of Galaxies;Pisces;"00h 03' 11""""";"-06º 05' 30""""";;12' x 12';;;"00h 04' 29""""";"-05º 57' 05"""""
ACO 348;;;Cluster of Galaxies;Cetus;"02h 23' 59""""";"-08º 35' 43""""";;11' x 11';;;"02h 25' 14""""";"-08º 28' 56"""""
BARNARD 125;;;Dark Nebula;Scutum;"18h 58' 18""""";"-04º 23' 00""""";;10' x 6';;;"18h 59' 38""""";"-04º 20' 52"""""
BARNARD 128;;;Dark Nebula;Aquila;"19h 01' 42""""";"-04º 34' 00""""";;10';;;"19h 03' 02""""";"-04º 31' 44"""""
LBN 275;;LBN 080.11-00.14;HII Region;Cygnus;"20h 37' 00""""";"40º 42' 00""""";;10' x 6';;;"20h 37' 55""""";"40º 47' 20"""""
LBN 335;;LBN 083.73+05.64;HII Region;Cygnus;"20h 23' 00""""";"47º 00' 00""""";;10' x 5';;;"20h 23' 48""""";"47º 04' 56"""""
LBN 608;;LBN 122.55-11.61;HII Region;Cassiopeia;"00h 49' 00""""";"51º 18' 00""""";;10' x 3';;;"00h 50' 26""""";"51º 26' 13"""""
ZWCL 89;;ZWCL 0017+0320;Cluster of Galaxies;Pisces;"00h 19' 39""""";"03º 35' 57""""";;9.7' x 9.7';;;"00h 20' 56""""";"03º 44' 20"""""
ZWCL 353;;ZWCL 0104+5350;Cluster of Galaxies;Cassiopeia;"01h 07' 48""""";"54º 08' 31""""";;9.5' x 9.5';;;"01h 09' 19""""";"54º 16' 33"""""
LBN 340;;LBN 083.98-05.35;HII Region;Cygnus;"21h 11' 00""""";"40º 18' 00""""";;9' x 5';;;"21h 11' 58""""";"40º 24' 14"""""
LDN 1366;;;Dark Nebula;Cassiopeia;"02h 32' 48""""";"61º 43' 00""""";;28' x 28';;;"02h 34' 44""""";"61º 49' 35"""""
LDN 1373;;;Dark Nebula;Cassiopeia;"02h 37' 48""""";"61º 13' 00""""";;3.5º x 3.5º;;;"02h 39' 45""""";"61º 19' 28"""""
NGC 7380;;OCL 244,OCL 244.0;Open Cluster;Cepheus;"22h 47' 16""""";"58º 07' 30""""";07.lut;11' x 11';45738;;"22h 48' 17""""";"58º 15' 30"""""
LBN 648;;LBN 134.04+01.46;HII Region;Cassiopeia;"02h 29' 00""""";"62º 12' 00""""";;2º x 1º;;;"02h 30' 56""""";"62º 18' 40"""""
LBN 348;;LBN 349,LBN 084.28-01.32;HII Region;Cygnus;"20h 56' 00""""";"43º 12' 00""""";;40' x 20';;;"20h 56' 55""""";"43º 17' 51"""""
MCG +10-25-008;Draco Dwarf;PGC 60095,UGC 10822,Z 300-12,Z 1719.4+5758;Galaxy;Draco;"17h 20' 14""""";"57º 55' 16""""";10.cze;16' x 16';45713;;"17h 20' 39""""";"57º 53' 50"""""
NGC 2403;;MCG +11-10-007,PGC 21396,UGC 3918,Z 310-3,Z 309-40,Z 0732.0+6543,IRAS 07320+6543,IRAS 07321+6543,IRAS F07320+6543,C 7;Spiral Galaxy;Camelopardalis;"07h 36' 51""""";"65º 36' 10""""";08.kwi;21' x 11';45922;;"07h 39' 16""""";"65º 32' 40"""""
M 3;;NGC 5272,HD 119333,CL MELOTTE 119;Globular Cluster;Canes Venatici;"13h 42' 12""""";"28º 22' 38""""";06.kwi;16' x 16';45678;;"13h 43' 21""""";"28º 15' 03"""""
LBN 343;;LBN 084.07-00.30;HII Region;Cygnus;"20h 51' 00""""";"43º 42' 00""""";;40' x 10';;;"20h 51' 54""""";"43º 47' 43"""""
NGC 4565;;MCG +04-30-006,PGC 42038,UGC 7772,Z 129-10,Z 1233.8+2615,IRAS 12338+2615,IRAS F12338+2615,C 38;Spiral Galaxy;Coma Berenices;"12h 36' 21""""";"25º 59' 15""""";09.cze;14' x 2.2';45862;;"12h 37' 36""""";"25º 50' 56"""""
LBN 943;;LBN 205.92-01.34;HII Region;Monoceros;"06h 34' 00""""";"05º 42' 00""""";;30' x 9';;;"06h 35' 21""""";"05º 40' 44"""""
NGC 6995;;;Supernova Remnant;Cygnus;"20h 57' 00""""";"31º 13' 00""""";;12' x 12';;;"20h 58' 03""""";"31º 18' 53"""""
LBN 656;;LBN 135.10+00.09;HII Region;Cassiopeia;"02h 32' 46""""";"60º 33' 12""""";;55' x 20';;;"02h 34' 40""""";"60º 39' 48"""""
LBN 650;;LBN 134.05+00.75;HII Region;Cassiopeia;"02h 27' 00""""";"61º 30' 00""""";;35' x 30';;;"02h 28' 55""""";"61º 36' 43"""""
LBN 455;;LBN 099.50+03.86;HII Region;Cepheus;"21h 40' 00""""";"57º 42' 00""""";;2.5º x 2.2º;;;"21h 40' 47""""";"57º 48' 54"""""
SH 2-131;;;HII Region;Cepheus;"21h 37' 07""""";"57º 30' 54""""";;2.8º;;;"21h 37' 54""""";"57º 37' 44"""""
LBN 378;;LBN 086.04-00.04;HII Region;Cygnus;"20h 57' 00""""";"45º 24' 00""""";;1.5º x 30';;;"20h 57' 53""""";"45º 29' 53"""""
LDN 933;;;Dark Nebula;Cygnus;"20h 52' 48""""";"44º 11' 00""""";;22' x 22';;;"20h 53' 42""""";"44º 16' 46"""""
LBN 385;;LBN 086.61-00.95;HII Region;Cygnus;"21h 03' 00""""";"45º 12' 00""""";;1.2º x 20';;;"21h 03' 54""""";"45º 18' 02"""""
SH 2-82;Little Cocoon Nebula;LBN 129,LBN 053.54+00.04;HII Region;Sagitta;"19h 30' 15""""";"18º 17' 30""""";;9';;;"19h 31' 22""""";"18º 20' 45"""""
CL COLLINDER 69;Lambda Orionis Cluster;OCL 479.0;Open Cluster;Orion;"05h 35' 10""""";"09º 48' 47""""";;2º x 2º;;;"05h 36' 33""""";"09º 49' 40"""""
CL STOCK 7;;OCL 351,CL MRK 6;Open Cluster;Cassiopeia;"02h 29' 43""""";"60º 37' 37""""";;34' x 34';;;"02h 31' 37""""";"60º 44' 16"""""
IC 1396A;;LBN 452,LBN 098.87+03.97;Emission Nebula;Cepheus;"21h 36' 00""""";"57º 24' 00""""";;14' x 2';;;"21h 36' 47""""";"57º 30' 49"""""
LBN 658;;LBN 135.74+01.09;HII Region;Cassiopeia;"02h 41' 00""""";"61º 12' 00""""";;1.7º x 30';;;"02h 42' 57""""";"61º 18' 24"""""
IC 342;;MCG +11-05-003,PGC 13826,UGC 2847,Z 305-2,Z 0342.0+6757,IRAS 03419+6756,IRAS F03419+6756,C 5;Spiral Galaxy;Camelopardalis;"03h 46' 49""""";"68º 05' 46""""";08.kwi;22' x 21';45861;;"03h 49' 16""""";"68º 10' 21"""""
CL MELOTTE 20;Alpha Persei Cluster;CL COLLINDER 39,OCL 392.0;Open Cluster;Perseus;"03h 26' 28""""";"48º 58' 30""""";;4.1º x 4.1º;;;"03h 28' 16""""";"49º 03' 42"""""
M 5;;NGC 5904,CL MELOTTE 133;Globular Cluster;Serpens;"15h 18' 33""""";"02º 04' 52""""";6.0;17' x 17';45889;;"15h 19' 50""""";"01º 59' 26"""""
LBN 363;;LBN 085.24-02.42;HII Region;Cygnus;"21h 04' 00""""";"43º 12' 00""""";;2.3º x 30';;;"21h 04' 55""""";"43º 18' 04"""""
NGC 2023;;LBN 954,VDB 52,IRAS 05391-0217;Emission Nebula;Orion;"05h 41' 38""""";"-02º 15' 52""""";;10' x 10';;;"05h 42' 54""""";"-02º 15' 13"""""
SH 2-302;Snowman Nebula;LBN 1046,LBN 232.66+00.99;HII Region;Puppis;"07h 31' 32""""";"-16º 59' 10""""";;21';;;"07h 32' 40""""";"-17º 02' 27"""""
LBN 672;;LBN 137.62+00.86;HII Region;Cassiopeia;"02h 54' 00""""";"60º 12' 00""""";;2º x 1º;;;"02h 55' 58""""";"60º 18' 05"""""
LBN 342;;LBN 084.03-01.29;HII Region;Cygnus;"20h 55' 00""""";"43º 00' 00""""";;1º x 30';;;"20h 55' 55""""";"43º 05' 50"""""
NGC 7822;;SH 2-171,LBN 589,LBN 118.59+06.13,CTB 2;Emission Nebula;Cepheus;"00h 01' 09""""";"67º 25' 17""""";;23' x 23';;;"00h 02' 27""""";"67º 33' 42"""""
M 92;;NGC 6341,HD 156711,CL MELOTTE 168;Globular Cluster;Hercules;"17h 17' 07""""";"43º 08' 09""""";06.maj;11' x 11';45767;;"17h 17' 54""""";"43º 06' 36"""""
NGC 1975;;;Emission Nebula;Orion;"05h 35' 18""""";"-04º 41' 05""""";;10' x 5';;;"05h 36' 33""""";"-04º 40' 12"""""
LBN 384;;LBN 086.52-00.09;HII Region;Cygnus;"20h 59' 00""""";"45º 42' 00""""";;2º x 1.7º;;;"20h 59' 53""""";"45º 47' 56"""""
LBN 647;;LBN 133.99+01.26;HII Region;Cassiopeia;"02h 28' 00""""";"62º 00' 00""""";;20' x 10';;;"02h 29' 56""""";"62º 06' 42"""""
IC 4756;Graff's Cluster;CL MELOTTE 210,OCL 94.0;Open Cluster;Serpens;"18h 38' 36""""";"05º 26' 06""""";04.cze;1.1º x 1.1º;45709;;"18h 39' 50""""";"05º 27' 32"""""
MCG +11-18-030;Ursa Minor Dwarf;PGC 54074,UGC 9749,Z 319-1,Z 318-18,Z 1508.2+6723;Galaxy;Ursa Minor;"15h 09' 11""""";"67º 12' 52""""";10.cze;32' x 32';45895;;"15h 09' 30""""";"67º 07' 10"""""
LBN 68;;LBN 017.00+00.53;HII Region;Serpens;"18h 20' 00""""";"-13º 54' 00""""";;35' x 30';;;"18h 21' 26""""";"-13º 53' 14"""""
LDN 936;;;Dark Nebula;Cygnus;"20h 51' 42""""";"45º 11' 00""""";;57' x 57';;;"20h 52' 35""""";"45º 16' 44"""""
LBN 334;;LBN 083.73+00.12;HII Region;Cygnus;"20h 48' 00""""";"43º 42' 00""""";;1º x 1º;;;"20h 48' 54""""";"43º 47' 38"""""
APG 104;Keenan's System;VV 33;Group of Galaxies;Ursa Major;"13h 32' 12""""";"62º 44' 00""""";12.kwi;10';25.88;;"13h 33' 04""""";"62º 36' 16"""""
NGC 7331;;MCG +06-49-045,PGC 69327,UGC 12113,Z 514-68,Z 2234.8+3410,IRAS 22347+3409,IRAS F22347+3409,C 30;Spiral Galaxy;Pegasus;"22h 37' 04""""";"34º 24' 57""""";09.maj;10' x 4.2';45710;;"22h 38' 13""""";"34º 32' 49"""""
LBN 615;;LBN 123.03-06.44;HII Region;Cassiopeia;"00h 52' 00""""";"56º 30' 00""""";;23' x 10';;;"00h 53' 29""""";"56º 38' 11"""""
MCG +02-26-027;Leo I;PGC 29488,UGC 5470,Z 64-73,Z 1005.8+1233;Galaxy;Leo;"10h 08' 28""""";"12º 18' 23""""";10.0;11' x 11';45923;;"10h 09' 49""""";"12º 10' 57"""""
NGC 2252;;IRAS 06323+0527;Open Cluster;Monoceros;"06h 35' 01""""";"05º 25' 13""""";;18';;;"06h 36' 22""""";"05º 23' 55"""""
SH 2-142;;LBN 511,LBN 107.04-00.97;HII Region;Cepheus;"22h 47' 32""""";"58º 02' 54""""";;30';;;"22h 48' 33""""";"58º 10' 54"""""
IC 1396B;;LBN 451,LBN 098.83+04.12;Emission Nebula;Cepheus;"21h 35' 00""""";"57º 24' 00""""";;12' x 4';;;"21h 35' 46""""";"57º 30' 47"""""
SH 2-49;;GUM 83;HII Region;Serpens;"18h 19' 00""""";"-13º 52' 00""""";;1.5º;;;"18h 20' 26""""";"-13º 51' 17"""""
LBN 208;;LBN 075.75+03.14;HII Region;Cygnus;"20h 10' 00""""";"38º 54' 00""""";;2º x 20';;;"20h 10' 55""""";"38º 58' 32"""""
SH 2-236;;;HII Region;Auriga;"05h 22' 36""""";"33º 22' 00""""";;55';;;"05h 24' 15""""";"33º 23' 20"""""
LBN 338;;LBN 083.86+00.22;HII Region;Cygnus;"20h 48' 00""""";"43º 54' 00""""";;40' x 15';;;"20h 48' 53""""";"43º 59' 38"""""
APG 317;;;Interacting Galaxies;Leo;"11h 19' 00""""";"13º 12' 00""""";;1º;;;"11h 20' 19""""";"13º 03' 43"""""
NGC 6811;Hole in a Cluster;CL MELOTTE 222;Open Cluster;Cygnus;"19h 37' 22""""";"46º 22' 41""""";06.sie;23' x 23';45737;;"19h 38' 07""""";"46º 26' 10"""""
NGC 2903;;NGC 2905,MCG +04-23-009,PGC 27077,UGC 5079,Z 122-14,Z 0929.4+2144,IRAS 09293+2143,IRAS F09293+2143;Spiral Galaxy;Leo;"09h 32' 10""""";"21º 30' 03""""";09.sty;11' x 5.3';45710;;"09h 33' 35""""";"21º 23' 19"""""
NGC 2246;;;Emission Nebula;Monoceros;"06h 30' 40""""";"04º 59' 07""""";;10' x 10';;;"06h 32' 00""""";"04º 57' 58"""""
SH 2-108;;LBN 234,LBN 077.61+01.59,IRAS 20188+3928;HII Region;Cygnus;"20h 20' 39""""";"39º 37' 52""""";;3º;;;"20h 21' 34""""";"39º 42' 43"""""
LBN 457;;LBN 100.22+03.68;HII Region;Cepheus;"21h 45' 00""""";"58º 00' 00""""";;1.5º x 40';;;"21h 45' 48""""";"58º 07' 00"""""
LBN 791;;LBN 172.07-02.72;HII Region;Auriga;"05h 14' 00""""";"34º 06' 00""""";;1.7º x 30';;;"05h 15' 40""""";"34º 07' 39"""""
SH 2-132;;LBN 473,LBN 102.79-00.92;HII Region;Cepheus;"22h 19' 09""""";"56º 04' 45""""";;1.5º;;;"22h 20' 05""""";"56º 12' 22"""""
LBN 341;;LBN 084.00+00.57;HII Region;Cygnus;"20h 46' 45""""";"44º 11' 04""""";;1.2º x 40';;;"20h 47' 38""""";"44º 16' 40"""""
LBN 673;;LBN 137.69+01.27;HII Region;Cassiopeia;"02h 56' 00""""";"60º 30' 00""""";;25' x 7';;;"02h 57' 59""""";"60º 36' 02"""""
LBN 193;;LBN 074.77+02.51;HII Region;Cygnus;"20h 10' 00""""";"37º 48' 00""""";;1.5º x 30';;;"20h 10' 55""""";"37º 52' 32"""""
LDN 1510;;;Dark Nebula;Auriga;"05h 16' 18""""";"34º 48' 00""""";;30' x 30';;;"05h 17' 58""""";"34º 49' 34"""""
LBN 387;;LBN 086.76-00.11;HII Region;Cygnus;"21h 00' 00""""";"45º 54' 00""""";;1.3º x 20';;;"21h 00' 53""""";"45º 59' 58"""""
LDN 1101;;;Dark Nebula;Cepheus;"21h 39' 36""""";"56º 59' 00""""";;19' x 19';;;"21h 40' 24""""";"57º 05' 53"""""
IC 63;;LBN 622,LBN 123.88-01.93,CED 4B;Emission Nebula;Cassiopeia;"00h 59' 01""""";"60º 53' 18""""";;10' x 3';;;"01h 00' 34""""";"61º 01' 25"""""
LBN 941;;LBN 205.46-01.66;HII Region;Monoceros;"06h 32' 00""""";"05º 54' 00""""";;18' x 8';;;"06h 33' 21""""";"05º 52' 48"""""
LBN 581;;LBN 118.11+04.78,CED 214;HII Region;Cepheus;"00h 02' 00""""";"67º 12' 00""""";;20' x 10';;;"00h 03' 18""""";"67º 20' 25"""""
LBN 329;;LBN 083.33-00.44;HII Region;Cygnus;"20h 49' 00""""";"43º 00' 00""""";;1º x 20';;;"20h 49' 54""""";"43º 05' 40"""""
LBN 912;;LBN 203.10+02.09;HII Region;Monoceros;"06h 41' 00""""";"09º 48' 00""""";;45' x 25';;;"06h 42' 23""""";"09º 46' 29"""""
LDN 1093;;;Dark Nebula;Cepheus;"21h 33' 30""""";"57º 38' 00""""";;11' x 11';;;"21h 34' 16""""";"57º 44' 46"""""
M 12;;NGC 6218,CL MELOTTE 151;Globular Cluster;Ophiuchus;"16h 47' 14""""";"-01º 56' 55""""";06.sty;15' x 15';45797;;"16h 48' 33""""";"-01º 59' 31"""""
LBN 506;;LBN 106.76-00.92;HII Region;Cepheus;"22h 45' 00""""";"58º 00' 00""""";;1.4º x 1º;;;"22h 46' 00""""";"58º 07' 58"""""
SH 2-129;;;HII Region;Cepheus;"21h 11' 48""""";"59º 57' 00""""";;2.3º;;;"21h 12' 26""""";"60º 03' 15"""""
BARNARD 365;;;Dark Nebula;Cepheus;"21h 34' 54""""";"56º 43' 00""""";;22';;;"21h 35' 41""""";"56º 49' 47"""""
IC 1831;;;Emission Nebula;Cassiopeia;"02h 44' 00""""";"63º 00' 00""""";;2º;;;"02h 46' 01""""";"63º 06' 19"""""
CL ROSLUND 6;;;Open Cluster;Cygnus;"20h 28' 44""""";"39º 47' 53""""";;2º x 2º;;;"20h 29' 40""""";"39º 52' 59"""""
LDN 1098;;;Dark Nebula;Cepheus;"21h 34' 30""""";"57º 38' 00""""";;10' x 10';;;"21h 35' 16""""";"57º 44' 47"""""
IC 5067;;LBN 353,LBN 084.59+00.13;Emission Nebula;Cygnus;"20h 47' 54""""";"44º 22' 00""""";;25' x 10';;;"20h 48' 47""""";"44º 27' 38"""""
LBN 670;;LBN 137.39+00.47;HII Region;Cassiopeia;"02h 51' 00""""";"59º 54' 00""""";;25' x 5';;;"02h 52' 57""""";"60º 00' 09"""""
LBN 206;;LBN 075.71+01.70;HII Region;Cygnus;"20h 16' 00""""";"38º 12' 00""""";;50' x 30';;;"20h 16' 55""""";"38º 16' 43"""""
M 86;;NGC 4406,MCG +02-32-046,PGC 40653,UGC 7532,Z 70-72,Z 1223.7+1314,HD 108262,IRAS 12234+1315,IRAS F12234+1315;Lenticular Galaxy;Virgo;"12h 26' 12""""";"12º 56' 45""""";08.wrz;10' x 7.6';45738;;"12h 27' 28""""";"12º 48' 24"""""
LDN 868;;;Dark Nebula;Cygnus;"20h 47' 00""""";"32º 11' 00""""";;49' x 49';;;"20h 48' 02""""";"32º 16' 37"""""
LBN 365;;LBN 085.49-02.69;HII Region;Cygnus;"21h 06' 00""""";"43º 12' 00""""";;1.7º x 40';;;"21h 06' 56""""";"43º 18' 07"""""
IC 1318B;;LBN 245,LBN 078.55+00.85;Emission Nebula;Cygnus;"20h 28' 00""""";"40º 00' 00""""";;45' x 30';;;"20h 28' 55""""";"40º 05' 05"""""
LBN 240;;LBN 241,LBN 078.21+02.48;HII Region;Cygnus;"20h 20' 00""""";"40º 42' 00""""";;2º x 1º;;;"20h 20' 54""""";"40º 46' 50"""""
IC 444;;LBN 840,LBN 188.65+03.75,CED 74;Emission Nebula;Gemini;"06h 18' 34""""";"23º 18' 48""""";;48' x 38';;;"06h 20' 06""""";"23º 18' 05"""""
M 2;;NGC 7089,HD 205146,CL MELOTTE 235;Globular Cluster;Aquarius;"21h 33' 27""""";"-00º 49' 24""""";06.mar;13' x 13';45797;;"21h 34' 45""""";"-00º 42' 38"""""
LDN 888;;;Dark Nebula;Cygnus;"20h 18' 48""""";"40º 39' 00""""";;2.1º x 2.1º;;;"20h 19' 42""""";"40º 43' 48"""""
LBN 796;;LBN 172.56-02.05;HII Region;Auriga;"05h 18' 00""""";"34º 06' 00""""";;4º x 4º;;;"05h 19' 40""""";"34º 07' 30"""""
LBN 249;;LBN 078.73+01.45;HII Region;Cygnus;"20h 26' 00""""";"40º 30' 00""""";;50' x 30';;;"20h 26' 54""""";"40º 35' 01"""""
IC 353;;CED 24;Emission Nebula;Taurus;"03h 50' 30""""";"25º 32' 00""""";;3º x 30';;;"03h 52' 01""""";"25º 36' 29"""""
M 53;;NGC 5024,HD 114820,CL MELOTTE 117;Globular Cluster;Coma Berenices;"13h 12' 55""""";"18º 10' 05""""";07.sie;13' x 13';45921;;"13h 14' 09""""";"18º 02' 06"""""
SH 2-230;;;HII Region;Auriga;"05h 22' 30""""";"34º 08' 00""""";;5º;;;"05h 24' 10""""";"34º 09' 20"""""
SH 2-45;;;HII Region;Sagittarius;"18h 20' 21""""";"-16º 13' 37""""";;1º;;;"18h 21' 48""""";"-16º 12' 51"""""
LDN 1170;;;Dark Nebula;Cepheus;"21h 01' 42""""";"67º 37' 00""""";;28' x 28';;;"21h 02' 02""""";"67º 43' 00"""""
LBN 752;;LBN 159.95-11.90;HII Region;Perseus;"04h 01' 00""""";"36º 54' 00""""";;5º x 1º;;;"04h 02' 39""""";"36º 58' 09"""""
M 10;;NGC 6254,CL MELOTTE 157;Globular Cluster;Ophiuchus;"16h 57' 09""""";"-04º 06' 01""""";06.kwi;15' x 15';45796;;"16h 58' 29""""";"-04º 08' 16"""""
CL STOCK 23;Pazimo's Cluster;OCL 375.0;Open Cluster;Camelopardalis;"03h 16' 18""""";"60º 22' 37""""";;1.5º x 1.5º;;;"03h 18' 20""""";"60º 28' 06"""""
IC 5068;;LBN 328,LBN 083.18-01.05;Emission Nebula;Cygnus;"20h 51' 00""""";"42º 30' 00""""";;40' x 30';;;"20h 51' 55""""";"42º 35' 43"""""
LBN 215;;LBN 076.26+02.08;HII Region;Cygnus;"20h 16' 00""""";"38º 54' 00""""";;40' x 20';;;"20h 16' 55""""";"38º 58' 43"""""
NGC 1333;;LBN 741,LBN 158.31-20.44,CED 16;Reflection Nebula;Perseus;"03h 29' 11""""";"31º 18' 36""""";;11' x 11';;;"03h 30' 45""""";"31º 23' 43"""""
LBN 776;;LBN 167.67-22.55;HII Region;Taurus;"03h 53' 00""""";"24º 06' 00""""";;3.3º x 1º;;;"03h 54' 30""""";"24º 10' 24"""""
NGC 6885;20 Vulpeculae Cluster;OCL 132.0,C 37;Asterism;Vulpecula;"20h 12' 01""""";"26º 28' 42""""";;15' x 15';;;"20h 13' 04""""";"26º 33' 18"""""
NGC 3521;;MCG +00-28-030,PGC 33550,UGC 6150,Z 10-74,Z 1103.3+0015,IRAS 11032+0014,IRAS F11032+0014;Spiral Galaxy;Leo;"11h 05' 49""""";"-00º 02' 09""""";9.0;10' x 4.8';45890;;"11h 07' 06""""";"-00º 10' 20"""""
SH 2-109;;;HII Region;Cygnus;"20h 33' 36""""";"40º 20' 00""""";;18º;;;"20h 34' 31""""";"40º 25' 14"""""
LBN 257;;LBN 079.31+00.93;HII Region;Cygnus;"20h 30' 00""""";"40º 42' 00""""";;2º x 1º;;;"20h 30' 54""""";"40º 47' 08"""""
CL COLLINDER 107;;OCL 518,OCL 518.0;Open Cluster;Monoceros;"06h 36' 49""""";"04º 58' 19""""";;47' x 47';;;"06h 38' 09""""";"04º 56' 57"""""
LBN 205;;LBN 075.57+03.72;HII Region;Cygnus;"20h 07' 00""""";"39º 06' 00""""";;5º x 2.5º;;;"20h 07' 54""""";"39º 10' 26"""""
LBN 270;;LBN 079.87+02.72;HII Region;Cygnus;"20h 24' 00""""";"42º 12' 00""""";;3º x 1.5º;;;"20h 24' 53""""";"42º 16' 57"""""
LBN 584;;LBN 118.28+04.49;HII Region;Cepheus;"00h 04' 00""""";"67º 00' 00""""";;35' x 35';;;"00h 05' 19""""";"67º 08' 25"""""
LDN 886;;;Dark Nebula;Cygnus;"20h 18' 48""""";"39º 59' 00""""";;1º x 1º;;;"20h 19' 42""""";"40º 03' 48"""""
LBN 327;;LBN 083.04-01.40;HII Region;Cygnus;"20h 52' 00""""";"42º 12' 00""""";;1.3º x 30';;;"20h 52' 55""""";"42º 17' 45"""""
LBN 544;;LBN 111.72-00.23;HII Region;Cassiopeia;"23h 18' 00""""";"60º 36' 00""""";;20' x 3';;;"23h 19' 07""""";"60º 44' 16"""""
NGC 1893;;OCL 439,OCL 439.0,CL MELOTTE 33;Open Cluster;Auriga;"05h 22' 54""""";"33º 26' 38""""";07.maj;10' x 10';45678;;"05h 24' 33""""";"33º 27' 58"""""
NGC 1027;;OCL 357,CL MELOTTE 16;Open Cluster;Cassiopeia;"02h 42' 43""""";"61º 36' 58""""";06.lip;26' x 26';45709;;"02h 44' 41""""";"61º 43' 19"""""
LDN 1625;;;Dark Nebula;Monoceros;"06h 27' 42""""";"05º 58' 00""""";;4.4º x 4.4º;;;"06h 29' 03""""";"05º 56' 58"""""
IC 424;;LBN 914,LBN 203.43-16.75;Reflection Nebula;Orion;"05h 33' 38""""";"-00º 24' 48""""";;2º;;;"05h 34' 55""""";"-00º 23' 51"""""
LBN 547;;;Nebula;Cassiopeia;"23h 17' 10""""";"61º 46' 24""""";;1.5º x 50';;;"23h 18' 16""""";"61º 54' 40"""""
LDN 1359;;;Dark Nebula;Cassiopeia;"02h 25' 48""""";"62º 04' 00""""";;15' x 15';;;"02h 27' 43""""";"62º 10' 45"""""
LBN 586;;LBN 118.37+04.98;HII Region;Cepheus;"00h 04' 00""""";"67º 30' 00""""";;35' x 10';;;"00h 05' 19""""";"67º 38' 25"""""
LDN 914;;;Dark Nebula;Cygnus;"20h 51' 48""""";"41º 41' 00""""";;2.3º x 2.3º;;;"20h 52' 44""""";"41º 46' 45"""""
BARNARD 168;;;Dark Nebula;Cygnus;"21h 53' 18""""";"47º 16' 00""""";;10';;;"21h 54' 16""""";"47º 23' 10"""""
APG 268;Holmberg II;MCG +12-08-033,PGC 23324,UGC 4305,Z 331-34,Z 0814.1+7052,IRAS 08140+7052;Interacting Galaxies;Ursa Major;"08h 19' 05""""";"70º 43' 13""""";11.kwi;10';45986;;"08h 21' 41""""";"70º 38' 23"""""
SH 2-119;;LBN 391,LBN 087.23-03.80;HII Region;Cygnus;"21h 18' 30""""";"43º 56' 00""""";;2.7º;;;"21h 19' 26""""";"44º 02' 25"""""
M 35;;NGC 2168,OCL 466.0,CL MELOTTE 41;Open Cluster;Gemini;"06h 09' 05""""";"24º 20' 10""""";05.mar;38' x 38';45920;;"06h 10' 38""""";"24º 19' 48"""""
LBN 540;;LBN 111.37-00.45;HII Region;Cassiopeia;"23h 16' 00""""";"60º 18' 00""""";;1º x 10';;;"23h 17' 06""""";"60º 26' 16"""""
NGC 4236;;MCG +12-12-004,PGC 39346,UGC 7306,Z 335-8,Z 1214.4+6945,IRAS 12140+6947,IRAS 12143+6945,C 3;Spiral Galaxy;Draco;"12h 16' 42""""";"69º 27' 45""""";10.sty;21' x 6.2';24.0;;"12h 17' 53""""";"69º 19' 22"""""
LBN 320;;LBN 082.57-00.83;HII Region;Cygnus;"20h 48' 00""""";"42º 12' 00""""";;1.5º x 30';;;"20h 48' 55""""";"42º 17' 38"""""
LBN 332;;LBN 083.65-01.61;HII Region;Cygnus;"20h 55' 00""""";"42º 30' 00""""";;40' x 40';;;"20h 55' 55""""";"42º 35' 50"""""
